Year,Month,Revenue,Order_Count,Avg_Order_Value
2010,12,776240.91,1551,500.47769825918766
2011,1,670580.24,1081,620.3332469935245
2011,2,508005.0,1093,464.7804208600183
2011,3,690497.97,1440,479.51247916666665
2011,4,515774.7,1235,417.6313360323887
2011,5,740375.84,1668,443.8704076738609
2011,6,738108.98,1525,484.00588852459015
2011,7,688763.09,1452,474.35474517906334
2011,8,724596.76,1340,540.7438507462687
2011,9,1029220.38,1819,565.8165915338097
2011,10,1104010.96,2005,550.6289077306733
2011,11,1453262.69,2751,528.2670628862231
2011,12,614690.92,816,753.2976960784314
